order_id,customer_id,order_date,ship_date,ship_mode,order_total
ORD000032,CUST00589,2023-05-15,2023-05-15,Same Day,828.65
ORD000033,CUST00571,2024-11-10,2024-11-12,Express,348.8
ORD000034,CUST00714,2024-12-15,2024-12-20,Standard,330.88
ORD000035,CUST00836,2023-06-04,2023-06-09,Standard,115.71
ORD000036,CUST01158,2023-05-30,2023-06-04,Standard,1950.34
ORD000037,CUST01031,2023-09-28,2023-10-03,Standard,1275.96
ORD000038,CUST00564,2023-01-27,2023-02-01,Standard,4997.38
ORD000039,CUST00766,2024-10-03,2024-10-08,Standard,3930.31
ORD000040,CUST00330,2024-07-07,2024-07-12,Standard,137.57
ORD000041,CUST00365,2023-02-25,2023-03-02,Standard,7229.95
ORD000042,CUST00495,2024-03-10,2024-03-10,Same Day,85.5
ORD000043,CUST00306,2024-01-12,2024-01-14,Express,619.95
ORD000044,CUST00408,2024-10-15,2024-10-17,Express,2369.19
ORD000045,CUST01039,2024-11-05,2024-11-10,Standard,5048.6
ORD000046,CUST00471,2023-11-23,2023-11-25,Express,1420.91
ORD000047,CUST00629,2023-04-02,2023-04-04,Express,1981.68
ORD000048,CUST00641,2023-11-24,2023-11-24,Same Day,236.84
ORD000049,CUST00839,2023-12-13,2023-12-18,Standard,1502.75
ORD000050,CUST00264,2024-10-20,2024-10-22,Express,580.91
ORD000051,CUST00374,2024-10-13,2024-10-18,Standard,3338.96
ORD000052,CUST00790,2024-03-04,2024-03-04,Same Day,771.94
ORD000053,CUST00965,2023-10-25,2023-10-25,Same Day,650.07
ORD000054,CUST00618,2024-09-24,2024-09-26,Express,143.57
ORD000055,CUST00501,2023-08-08,2023-08-08,Same Day,3625.58
ORD000056,CUST00917,2024-02-16,2024-02-18,Express,8782.65
ORD000057,CUST00129,2024-12-04,2024-12-06,Express,1160.34
ORD000058,CUST00947,2024-09-22,2024-09-24,Express,3300.12
ORD000059,CUST00633,2024-07-18,2024-07-23,Standard,1122.5
ORD000060,CUST00763,2023-03-28,2023-03-30,Express,432.26
ORD000061,CUST00141,2024-10-13,2024-10-15,Express,4744.56
ORD000062,CUST00149,2023-08-09,2023-08-14,Standard,4314.5
ORD000063,CUST01169,2023-09-29,2023-10-04,Standard,3270.12
ORD000064,CUST01175,2023-10-27,2023-11-01,Standard,1068.0
ORD000065,CUST00340,2024-10-23,2024-10-28,Standard,820.78
ORD000066,CUST00874,2023-02-23,2023-02-25,Express,1468.16
ORD000067,CUST00952,2023-01-21,2023-01-21,Same Day,1740.51
ORD000068,CUST00994,2024-11-15,2024-11-17,Express,887.7
ORD000069,CUST00013,2024-12-08,2024-12-13,Standard,1161.13
ORD000070,CUST00119,2024-10-30,2024-11-04,Standard,289.8
ORD000071,CUST00139,2024-12-14,2024-12-16,Express,1165.75
ORD000072,CUST00336,2023-12-24,2023-12-26,Express,3763.05
ORD000073,CUST01183,2023-07-21,2023-07-26,Standard,473.68
ORD000074,CUST00778,2023-07-24,2023-07-29,Standard,141.48
ORD000075,CUST00409,2023-11-28,2023-11-30,Express,211.78
ORD000076,CUST00794,2023-07-17,2023-07-22,Standard,172.73
ORD000077,CUST00956,2023-04-10,2023-04-12,Express,332.97
ORD000078,CUST01052,2024-04-01,2024-04-01,Same Day,2391.74
ORD000079,CUST01075,2024-11-30,2024-12-02,Express,205.45
ORD000080,CUST00375,2024-04-17,2024-04-19,Express,1175.32
ORD000081,CUST00424,2024-01-04,2024-01-04,Same Day,8068.19
ORD000082,CUST00431,2024-07-26,2024-07-31,Standard,827.51
ORD000083,CUST01038,2023-07-23,2023-07-28,Standard,1752.88
ORD000084,CUST00796,2023-07-02,2023-07-07,Standard,1888.39
ORD000085,CUST00409,2024-08-02,2024-08-07,Standard,518.36
ORD000086,CUST00712,2023-05-15,2023-05-17,Express,3698.81
ORD000087,CUST00702,2024-05-21,2024-05-26,Standard,168.62
ORD000088,CUST00836,2023-08-08,2023-08-13,Standard,2170.79
ORD000089,CUST00395,2024-08-08,2024-08-13,Standard,318.88
ORD000090,CUST00319,2024-07-05,2024-07-10,Standard,618.32
ORD000091,CUST01112,2024-10-28,2024-11-02,Standard,713.66
ORD000092,CUST00366,2023-11-02,2023-11-07,Standard,433.1
ORD000093,CUST00516,2023-11-15,2023-11-15,Same Day,1029.85
ORD000094,CUST00316,2024-09-09,2024-09-11,Express,5746.67
ORD000095,CUST01022,2024-07-19,2024-07-21,Express,2641.53
ORD000096,CUST00891,2023-08-31,2023-09-05,Standard,87.89
ORD000097,CUST00857,2024-05-26,2024-05-26,Same Day,2719.64
ORD000098,CUST01111,2023-08-22,2023-08-24,Express,153.76
ORD000099,CUST00921,2023-04-29,2023-05-04,Standard,629.77
ORD000100,CUST00880,2024-09-24,2024-09-29,Standard,861.27
ORD000101,CUST00745,2024-09-11,2024-09-13,Express,319.04
ORD000102,CUST00895,2024-01-07,2024-01-09,Express,1403.26
ORD000103,CUST00596,2024-11-17,2024-11-22,Standard,62.32
ORD000104,CUST01123,2024-01-05,2024-01-05,Same Day,1284.46
ORD000105,CUST01138,2024-07-11,2024-07-16,Standard,485.81
ORD000106,CUST00964,2024-07-19,2024-07-21,Express,1805.43
ORD000107,CUST00616,2024-01-22,2024-01-27,Standard,1532.02
ORD000108,CUST00125,2023-06-14,2023-06-16,Express,486.64
ORD000109,CUST00339,2023-11-13,2023-11-13,Same Day,5689.42
ORD000110,CUST00172,2023-07-13,2023-07-13,Same Day,981.18
ORD000111,CUST00687,2023-11-16,2023-11-21,Standard,516.27
ORD000112,CUST00628,2023-06-26,2023-06-28,Express,175.62
ORD000113,CUST00332,2024-01-21,2024-01-21,Same Day,329.28
ORD000114,CUST00970,2024-05-03,2024-05-05,Express,4736.57
ORD000115,CUST00917,2024-12-12,2024-12-17,Standard,317.03
ORD000116,CUST01024,2024-11-13,2024-11-15,Express,2260.09
ORD000117,CUST01173,2024-11-20,2024-11-25,Standard,1973.1
ORD000118,CUST00069,2023-11-14,2023-11-16,Express,1772.4
ORD000119,CUST01050,2023-12-05,2023-12-07,Express,785.84
ORD000120,CUST00075,2023-12-18,2023-12-20,Express,156.41
ORD000121,CUST00656,2023-06-08,2023-06-10,Express,801.0
ORD000122,CUST00960,2024-06-30,2024-07-02,Express,516.06
ORD000123,CUST00211,2023-11-21,2023-11-21,Same Day,3255.59
ORD000124,CUST00134,2023-09-21,2023-09-21,Same Day,525.79
ORD000125,CUST00723,2023-12-22,2023-12-27,Standard,747.19
ORD000126,CUST01189,2024-06-26,2024-06-28,Express,899.75
ORD000127,CUST00746,2024-01-30,2024-02-04,Standard,381.28
ORD000128,CUST01145,2024-06-04,2024-06-09,Standard,2094.7
ORD000129,CUST00025,2023-06-15,2023-06-17,Express,406.48
ORD000130,CUST00740,2024-01-21,2024-01-26,Standard,5374.81
ORD000131,CUST00445,2024-10-21,2024-10-26,Standard,66.19
ORD000132,CUST00049,2023-02-07,2023-02-12,Standard,566.08
ORD000133,CUST00849,2023-10-31,2023-10-31,Same Day,3569.48
ORD000134,CUST01000,2024-09-13,2024-09-18,Standard,3370.51
ORD000135,CUST00071,2024-12-06,2024-12-11,Standard,672.85
ORD000136,CUST00574,2024-10-13,2024-10-15,Express,1434.69
ORD000137,CUST01166,2024-08-31,2024-09-02,Express,135.16
ORD000138,CUST01126,2024-08-08,2024-08-13,Standard,289.13
ORD000139,CUST00446,2023-11-16,2023-11-18,Express,18.14
ORD000140,CUST00074,2023-12-08,2023-12-13,Standard,341.25
ORD000141,CUST00912,2024-05-26,2024-05-28,Express,573.63
ORD000142,CUST00505,2024-07-06,2024-07-08,Express,774.73
ORD000143,CUST00897,2024-04-26,2024-05-01,Standard,786.01
ORD000144,CUST00312,2023-05-15,2023-05-17,Express,164.64
ORD000145,CUST00018,2023-06-26,2023-06-28,Express,7511.16
ORD000146,CUST00818,2024-08-17,2024-08-19,Express,1040.7
ORD000147,CUST00809,2024-09-13,2024-09-18,Standard,873.24
ORD000148,CUST00905,2024-03-24,2024-03-26,Express,100.56
ORD000149,CUST00787,2023-08-17,2023-08-19,Express,182.17
ORD000150,CUST00649,2023-06-17,2023-06-22,Standard,2878.46
ORD000151,CUST00405,2024-10-16,2024-10-21,Standard,228.56
ORD000152,CUST00591,2024-12-18,2024-12-23,Standard,162.45
ORD000153,CUST00975,2024-11-01,2024-11-06,Standard,534.0
ORD000154,CUST00315,2024-01-13,2024-01-15,Express,220.8
ORD000155,CUST01184,2024-07-25,2024-07-25,Same Day,163.88
ORD000156,CUST00939,2024-12-09,2024-12-14,Standard,54.41
ORD000157,CUST00008,2024-10-31,2024-11-02,Express,10190.98
ORD000158,CUST00881,2023-08-24,2023-08-29,Standard,316.85
ORD000159,CUST00754,2024-03-02,2024-03-07,Standard,704.57
ORD000160,CUST00231,2024-05-19,2024-05-21,Express,3620.47
ORD000161,CUST00149,2024-11-30,2024-12-02,Express,205.45
ORD000162,CUST00417,2023-07-12,2023-07-14,Express,364.12
ORD000163,CUST00513,2024-10-19,2024-10-24,Standard,131.2
ORD000164,CUST00431,2024-08-04,2024-08-09,Standard,4190.61
ORD000165,CUST01143,2024-06-01,2024-06-06,Standard,2023.07
ORD000166,CUST00560,2023-03-25,2023-03-27,Express,195.6
ORD000167,CUST00317,2024-04-11,2024-04-16,Standard,88.65
ORD000168,CUST00407,2024-11-05,2024-11-10,Standard,886.03
ORD000169,CUST00683,2024-02-11,2024-02-13,Express,814.58
ORD000170,CUST00553,2024-10-11,2024-10-13,Express,5274.05
ORD000171,CUST01041,2023-12-05,2023-12-10,Standard,1611.39
ORD000172,CUST01025,2023-08-10,2023-08-10,Same Day,700.9
ORD000173,CUST00284,2023-10-29,2023-11-03,Standard,1738.71
ORD000174,CUST00555,2023-07-18,2023-07-23,Standard,2107.36
ORD000175,CUST00251,2023-07-22,2023-07-27,Standard,7623.43
ORD000176,CUST00349,2024-12-17,2024-12-22,Standard,726.27
ORD000177,CUST00803,2023-12-15,2023-12-20,Standard,1877.49
ORD000178,CUST00562,2024-09-02,2024-09-07,Standard,5434.71
ORD000179,CUST00794,2023-09-11,2023-09-16,Standard,1062.92
ORD000180,CUST00047,2024-10-15,2024-10-17,Express,739.32
ORD000181,CUST00467,2023-06-17,2023-06-19,Express,3285.52
ORD000182,CUST00554,2024-11-12,2024-11-17,Standard,262.81
ORD000183,CUST00795,2024-06-05,2024-06-07,Express,4677.29
ORD000184,CUST00437,2023-05-20,2023-05-22,Express,7945.55
ORD000185,CUST00308,2023-09-03,2023-09-08,Standard,573.63
ORD000186,CUST00722,2024-04-20,2024-04-22,Express,209.5
ORD000187,CUST00135,2024-06-05,2024-06-10,Standard,774.09
ORD000188,CUST00844,2023-07-11,2023-07-16,Standard,54.4
ORD000189,CUST00978,2023-10-02,2023-10-04,Express,1101.14
ORD000190,CUST01157,2023-04-19,2023-04-24,Standard,1025.83
ORD000191,CUST00187,2024-05-07,2024-05-12,Standard,3951.0
ORD000192,CUST00202,2023-03-17,2023-03-17,Same Day,3221.44
ORD000193,CUST00366,2024-11-08,2024-11-13,Standard,667.75
ORD000194,CUST00361,2024-11-02,2024-11-07,Standard,1204.39
ORD000195,CUST00819,2024-02-08,2024-02-13,Standard,359.9
ORD000196,CUST00569,2024-10-03,2024-10-03,Same Day,3135.84
ORD000197,CUST00356,2024-08-03,2024-08-08,Standard,472.33
ORD000198,CUST00847,2024-08-30,2024-08-30,Same Day,1347.36
ORD000199,CUST00986,2023-09-09,2023-09-14,Standard,105.87
ORD000200,CUST00708,2023-09-23,2023-09-28,Standard,6910.92
ORD000201,CUST00322,2024-07-03,2024-07-03,Same Day,2788.94
ORD000202,CUST00610,2023-06-17,2023-06-22,Standard,405.48
ORD000203,CUST00881,2024-07-23,2024-07-25,Express,98.32
ORD000204,CUST00509,2024-08-06,2024-08-11,Standard,3353.4
ORD000205,CUST00367,2024-08-04,2024-08-06,Express,17.16
ORD000206,CUST00029,2023-01-02,2023-01-07,Standard,7054.55
ORD000207,CUST00418,2024-01-24,2024-01-29,Standard,1009.5
ORD000208,CUST00666,2023-03-19,2023-03-21,Express,110.4
ORD000209,CUST00416,2023-11-16,2023-11-18,Express,4530.99
ORD000210,CUST00158,2023-02-26,2023-03-03,Standard,471.15
ORD000211,CUST00569,2023-06-06,2023-06-08,Express,6213.55
ORD000212,CUST00617,2023-12-23,2023-12-25,Express,7274.65
ORD000213,CUST00662,2024-12-15,2024-12-17,Express,1207.18
ORD000214,CUST00432,2023-03-09,2023-03-09,Same Day,116.32
ORD000215,CUST00834,2023-12-14,2023-12-19,Standard,260.82
ORD000216,CUST00237,2024-12-27,2024-12-29,Express,359.86
ORD000217,CUST00179,2024-02-13,2024-02-15,Express,1119.62
ORD000218,CUST00255,2023-03-12,2023-03-17,Standard,2071.92
ORD000219,CUST00367,2023-03-25,2023-03-25,Same Day,2611.16
ORD000220,CUST01180,2023-10-29,2023-11-03,Standard,3451.6
ORD000221,CUST00653,2023-09-10,2023-09-15,Standard,138.11
ORD000222,CUST00817,2024-03-01,2024-03-06,Standard,4413.89
ORD000223,CUST00290,2023-07-12,2023-07-14,Express,831.56
ORD000224,CUST00636,2024-11-18,2024-11-23,Standard,450.13
ORD000225,CUST00742,2023-12-11,2023-12-16,Standard,428.56
ORD000226,CUST00360,2024-10-08,2024-10-13,Standard,523.1
ORD000227,CUST00056,2023-07-02,2023-07-04,Express,100.87
ORD000228,CUST00504,2023-05-27,2023-05-29,Express,3061.33
ORD000229,CUST00773,2023-09-03,2023-09-05,Express,6473.07
ORD000230,CUST00394,2023-08-01,2023-08-06,Standard,995.0
ORD000231,CUST00742,2023-06-01,2023-06-03,Express,827.29
ORD000232,CUST00428,2023-12-17,2023-12-22,Standard,4677.21
ORD000233,CUST00446,2023-08-11,2023-08-13,Express,3021.42
ORD000234,CUST01028,2024-05-23,2024-05-23,Same Day,4276.36
ORD000235,CUST01101,2023-11-07,2023-11-12,Standard,811.7
ORD000236,CUST00065,2024-02-21,2024-02-23,Express,722.92
ORD000237,CUST00497,2024-06-30,2024-07-05,Standard,1685.6
ORD000238,CUST00808,2024-08-28,2024-09-02,Standard,433.11
ORD000239,CUST00753,2024-12-18,2024-12-23,Standard,1276.94
ORD000240,CUST00842,2023-11-05,2023-11-10,Standard,638.88
ORD000241,CUST00992,2023-09-06,2023-09-11,Standard,4072.97
ORD000242,CUST00998,2023-06-18,2023-06-23,Standard,1690.92
ORD000243,CUST00778,2024-03-21,2024-03-23,Express,72.48
ORD000244,CUST00166,2023-11-28,2023-12-03,Standard,1366.04
ORD000245,CUST00550,2024-07-30,2024-08-04,Standard,751.35
ORD000246,CUST00262,2023-10-02,2023-10-07,Standard,378.35
ORD000247,CUST00185,2024-11-06,2024-11-11,Standard,572.88
ORD000248,CUST01082,2024-03-17,2024-03-22,Standard,1067.13
ORD000249,CUST00412,2023-01-08,2023-01-10,Express,730.39
ORD000250,CUST00613,2024-08-12,2024-08-12,Same Day,863.07
ORD000251,CUST00655,2023-11-26,2023-12-01,Standard,926.28
ORD000252,CUST00258,2023-12-29,2024-01-03,Standard,226.28
ORD000253,CUST00768,2023-10-03,2023-10-08,Standard,665.86
ORD000254,CUST00264,2024-06-21,2024-06-23,Express,486.81
ORD000255,CUST00620,2024-03-15,2024-03-17,Express,520.87
ORD000256,CUST00800,2024-10-29,2024-11-03,Standard,3391.01
ORD000257,CUST00824,2024-05-05,2024-05-10,Standard,635.8
ORD000258,CUST00120,2023-05-14,2023-05-14,Same Day,124.32
ORD000259,CUST00468,2023-09-25,2023-09-27,Express,3217.58
ORD000260,CUST00466,2023-11-11,2023-11-16,Standard,5128.3
ORD000261,CUST00253,2024-02-13,2024-02-15,Express,1243.95
ORD000262,CUST00217,2023-09-08,2023-09-13,Standard,285.97
ORD000263,CUST00795,2024-01-12,2024-01-14,Express,4497.6
ORD000264,CUST00894,2024-01-02,2024-01-07,Standard,323.68
ORD000265,CUST01073,2024-05-18,2024-05-23,Standard,707.47
ORD000266,CUST01029,2024-11-12,2024-11-17,Standard,671.73
ORD000267,CUST01038,2024-09-30,2024-10-05,Standard,348.1
ORD000268,CUST00444,2023-09-19,2023-09-24,Standard,228.9
ORD000269,CUST00288,2023-08-06,2023-08-11,Standard,1687.73
ORD000270,CUST00988,2024-07-02,2024-07-04,Express,995.0
ORD000271,CUST00383,2024-04-19,2024-04-24,Standard,60.14
ORD000272,CUST00397,2024-04-30,2024-05-02,Express,5197.45
ORD000273,CUST00343,2024-06-04,2024-06-06,Express,280.4
ORD000274,CUST00439,2024-04-26,2024-05-01,Standard,372.01
ORD000275,CUST00123,2023-02-10,2023-02-15,Standard,3457.5
ORD000276,CUST00841,2024-09-26,2024-09-28,Express,2264.84
ORD000277,CUST00440,2024-08-18,2024-08-20,Express,1146.82
ORD000278,CUST00044,2023-11-22,2023-11-24,Express,918.68
ORD000279,CUST00606,2024-11-16,2024-11-16,Same Day,278.62
ORD000280,CUST00402,2023-04-25,2023-04-30,Standard,219.62
ORD000281,CUST00403,2024-04-05,2024-04-10,Standard,161.94
ORD000282,CUST00823,2023-08-02,2023-08-02,Same Day,2181.28
ORD000283,CUST00068,2023-12-01,2023-12-06,Standard,5487.69
ORD000284,CUST00768,2023-07-29,2023-07-31,Express,410.86
ORD000285,CUST00502,2023-12-26,2023-12-31,Standard,2191.39
ORD000286,CUST00004,2023-03-23,2023-03-28,Standard,1094.59
ORD000287,CUST00282,2023-06-15,2023-06-15,Same Day,196.8
ORD000288,CUST00461,2024-04-04,2024-04-09,Standard,1062.02
ORD000289,CUST00408,2023-11-04,2023-11-09,Standard,4494.73
ORD000290,CUST00259,2023-07-08,2023-07-10,Express,57.53
ORD000291,CUST00173,2024-07-03,2024-07-08,Standard,6673.75
ORD000292,CUST00684,2023-07-12,2023-07-12,Same Day,694.76
ORD000293,CUST00270,2024-12-08,2024-12-13,Standard,2981.27
ORD000294,CUST00944,2024-04-17,2024-04-22,Standard,5656.96
ORD000295,CUST00412,2024-02-06,2024-02-11,Standard,407.59
ORD000296,CUST00790,2023-10-07,2023-10-09,Express,1857.69
ORD000297,CUST00653,2023-08-29,2023-09-03,Standard,731.59
ORD000298,CUST00335,2024-08-13,2024-08-15,Express,508.64
ORD000299,CUST00215,2024-01-26,2024-01-31,Standard,300.72
ORD000300,CUST01189,2023-11-18,2023-11-20,Express,6283.82
ORD000301,CUST01179,2024-09-22,2024-09-24,Express,703.63
ORD000302,CUST00441,2023-12-17,2023-12-22,Standard,1760.56
ORD000303,CUST01094,2024-04-17,2024-04-19,Express,90.55
ORD000304,CUST00568,2024-06-27,2024-07-02,Standard,507.8
ORD000305,CUST01105,2024-05-09,2024-05-14,Standard,4920.61
ORD000306,CUST00113,2023-10-12,2023-10-14,Express,1641.44
ORD000307,CUST01146,2023-01-18,2023-01-20,Express,4723.53
ORD000308,CUST00370,2024-04-30,2024-05-02,Express,5752.15
ORD000309,CUST00198,2023-06-02,2023-06-07,Standard,144.45
ORD000310,CUST00848,2024-04-08,2024-04-10,Express,1751.9
ORD000311,CUST00029,2023-02-17,2023-02-17,Same Day,1903.32
ORD000312,CUST00907,2024-09-02,2024-09-04,Express,65.55
ORD000313,CUST00464,2023-03-19,2023-03-19,Same Day,3124.54
ORD000314,CUST01066,2023-09-30,2023-10-05,Standard,8514.76
ORD000315,CUST00447,2023-11-27,2023-11-29,Express,289.8
ORD000316,CUST00511,2024-03-11,2024-03-16,Standard,177.3
ORD000317,CUST00724,2023-12-23,2023-12-25,Express,26.75
ORD000318,CUST01086,2023-05-06,2023-05-11,Standard,3644.93
ORD000319,CUST00496,2023-02-04,2023-02-09,Standard,94.6
ORD000320,CUST00005,2023-11-21,2023-11-26,Standard,595.0
ORD000321,CUST00121,2024-02-16,2024-02-21,Standard,328.94
ORD000322,CUST00350,2023-02-11,2023-02-16,Standard,1309.86
ORD000323,CUST00971,2023-03-23,2023-03-25,Express,190.91
ORD000324,CUST01057,2023-11-07,2023-11-09,Express,131.44
ORD000325,CUST00403,2024-11-28,2024-11-30,Express,4497.12
ORD000326,CUST00608,2023-05-20,2023-05-25,Standard,1464.22
ORD000327,CUST01029,2024-04-26,2024-05-01,Standard,62.43
ORD000328,CUST00287,2024-06-18,2024-06-20,Express,2669.52
ORD000329,CUST00593,2024-11-12,2024-11-17,Standard,871.39
ORD000330,CUST00944,2023-11-19,2023-11-21,Express,461.28
ORD000331,CUST00944,2023-07-11,2023-07-16,Standard,411.78
ORD000332,CUST00720,2023-04-10,2023-04-12,Express,662.21
ORD000333,CUST00933,2024-06-21,2024-06-26,Standard,281.25
ORD000334,CUST00779,2023-08-05,2023-08-10,Standard,3089.7
ORD000335,CUST00020,2023-06-27,2023-06-29,Express,1758.12
ORD000336,CUST00701,2023-12-17,2023-12-19,Express,200.59
ORD000337,CUST00071,2024-05-09,2024-05-14,Standard,1528.16
ORD000338,CUST00592,2023-02-22,2023-02-22,Same Day,62.32
ORD000339,CUST00507,2024-11-11,2024-11-11,Same Day,1120.8
ORD000340,CUST00870,2023-01-29,2023-02-03,Standard,446.09
ORD000341,CUST00925,2023-12-05,2023-12-10,Standard,75.35
ORD000342,CUST00001,2023-12-26,2023-12-31,Standard,785.16
ORD000343,CUST00035,2024-12-04,2024-12-09,Standard,666.49
ORD000344,CUST00586,2024-05-24,2024-05-29,Standard,1226.68
ORD000345,CUST00321,2024-04-06,2024-04-11,Standard,707.2
ORD000346,CUST00374,2024-04-26,2024-04-28,Express,904.11
ORD000347,CUST00703,2023-12-01,2023-12-06,Standard,2131.28
ORD000348,CUST00929,2024-11-26,2024-12-01,Standard,1799.04
ORD000349,CUST00824,2023-12-11,2023-12-16,Standard,1152.99
ORD000350,CUST00322,2023-03-31,2023-04-05,Standard,766.48
ORD000351,CUST01007,2023-10-03,2023-10-05,Express,840.29
ORD000352,CUST01175,2024-09-11,2024-09-16,Standard,504.35
ORD000353,CUST01183,2023-11-07,2023-11-12,Standard,343.33
ORD000354,CUST00643,2024-09-11,2024-09-16,Standard,914.07
ORD000355,CUST00978,2024-12-10,2024-12-15,Standard,279.74
ORD000356,CUST00160,2024-12-14,2024-12-19,Standard,1769.82
ORD000357,CUST01075,2023-12-02,2023-12-07,Standard,276.22
ORD000358,CUST00103,2024-11-29,2024-12-04,Standard,594.37
ORD000359,CUST00817,2023-12-10,2023-12-12,Express,191.92
ORD000360,CUST00425,2024-06-12,2024-06-12,Same Day,4955.82
ORD000361,CUST00050,2023-06-18,2023-06-20,Express,431.4
ORD000362,CUST01049,2024-06-16,2024-06-21,Standard,198.57
ORD000363,CUST00705,2024-06-25,2024-06-30,Standard,6834.67
ORD000364,CUST00811,2023-04-28,2023-05-03,Standard,434.55
ORD000365,CUST00723,2023-03-30,2023-04-04,Standard,1350.88
ORD000366,CUST00837,2024-02-16,2024-02-21,Standard,134.35
ORD000367,CUST00305,2023-03-14,2023-03-19,Standard,1088.45
ORD000368,CUST00210,2023-07-31,2023-07-31,Same Day,679.07
ORD000369,CUST01156,2024-11-12,2024-11-17,Standard,2471.55
ORD000370,CUST00622,2024-10-12,2024-10-14,Express,2431.79
ORD000371,CUST00123,2023-11-22,2023-11-27,Standard,118.8
ORD000372,CUST00069,2023-04-10,2023-04-10,Same Day,264.96
ORD000373,CUST00194,2024-06-01,2024-06-06,Standard,123.09
ORD000374,CUST00626,2024-03-11,2024-03-16,Standard,1139.66
ORD000375,CUST00704,2023-04-04,2023-04-09,Standard,675.8
ORD000376,CUST00507,2024-03-18,2024-03-23,Standard,398.8
ORD000377,CUST01052,2023-05-05,2023-05-05,Same Day,517.5
ORD000378,CUST00956,2023-10-19,2023-10-21,Express,1308.46
ORD000379,CUST00518,2023-11-07,2023-11-09,Express,253.21
ORD000380,CUST00339,2023-03-12,2023-03-17,Standard,629.75
ORD000381,CUST00882,2024-09-20,2024-09-22,Express,4766.35
ORD000382,CUST00292,2024-11-26,2024-12-01,Standard,246.48
ORD000383,CUST00256,2023-12-18,2023-12-20,Express,2825.92
ORD000384,CUST01044,2023-11-29,2023-12-04,Standard,170.35
ORD000385,CUST00869,2023-07-07,2023-07-12,Standard,361.31
ORD000386,CUST01038,2024-07-14,2024-07-19,Standard,360.88
ORD000387,CUST00129,2024-11-08,2024-11-10,Express,1417.92
ORD000388,CUST00751,2023-07-28,2023-08-02,Standard,2428.7
ORD000389,CUST00902,2024-12-02,2024-12-07,Standard,1424.07
ORD000390,CUST00878,2024-01-28,2024-02-02,Standard,1155.93
ORD000391,CUST00301,2024-03-03,2024-03-03,Same Day,96.68
ORD000392,CUST01177,2023-03-05,2023-03-05,Same Day,2285.04
ORD000393,CUST00034,2023-01-18,2023-01-20,Express,231.18
ORD000394,CUST00892,2023-10-10,2023-10-12,Express,2527.62
ORD000395,CUST00718,2024-11-01,2024-11-03,Express,2103.16
ORD000396,CUST00263,2024-09-16,2024-09-21,Standard,1463.93
ORD000397,CUST00262,2024-02-29,2024-03-05,Standard,246.45
ORD000398,CUST00441,2024-07-23,2024-07-23,Same Day,298.86
ORD000399,CUST00033,2023-05-31,2023-06-02,Express,185.82
ORD000400,CUST00087,2024-10-07,2024-10-12,Standard,1411.95
ORD000401,CUST00880,2023-11-20,2023-11-20,Same Day,1100.04
ORD000402,CUST01184,2023-10-04,2023-10-06,Express,4932.52
ORD000403,CUST01161,2024-05-28,2024-06-02,Standard,273.27
ORD000404,CUST00137,2024-09-05,2024-09-10,Standard,485.36
ORD000405,CUST00232,2024-05-03,2024-05-03,Same Day,253.24
ORD000406,CUST00105,2024-11-08,2024-11-13,Standard,150.72
ORD000407,CUST00172,2024-01-16,2024-01-21,Standard,2141.97
