product_id,product_name,category,unit_price,unit_cost
PROD0071,Jeans Max,Apparel,99.51,67.32
PROD0072,Cap Max,Apparel,74.92,50.05
PROD0073,T-Shirt Max,Apparel,36.24,19.18
PROD0074,Jeans Lite,Apparel,66.19,40.02
PROD0075,Cap Elite,Apparel,52.21,28.53
PROD0076,Cap Lite,Apparel,86.28,57.06
PROD0077,Cap Lite,Apparel,28.36,16.23
PROD0078,Jacket Max,Apparel,102.62,67.2
PROD0079,T-Shirt Plus,Apparel,63.31,34.74
PROD0080,Cap Elite,Apparel,65.6,40.92
PROD0081,Sneakers Plus,Apparel,55.72,39.56
PROD0082,Jeans Lite,Apparel,19.09,9.69
PROD0083,Jacket Max,Apparel,13.6,7.56
PROD0084,Jeans Plus,Apparel,95.88,61.5
PROD0085,Cap Max,Apparel,66.19,42.57
PROD0086,Cap Pro,Apparel,100.56,59.5
PROD0087,Sneakers Pro,Apparel,70.1,52.4
PROD0088,Jeans Plus,Apparel,42.75,32.06
PROD0089,Jacket Plus,Apparel,48.34,34.04
PROD0090,T-Shirt Elite,Apparel,95.32,53.31
PROD0091,Coffee Maker Basic,Home & Kitchen,212.96,152.32
PROD0092,Air Fryer Lite,Home & Kitchen,66.47,35.55
PROD0093,Cookware Set Basic,Home & Kitchen,245.52,157.75
PROD0094,Vacuum Cleaner Elite,Home & Kitchen,187.12,101.44
PROD0095,Vacuum Cleaner Basic,Home & Kitchen,101.01,57.26
PROD0096,Blender Plus,Home & Kitchen,57.96,39.85
PROD0097,Blender Lite,Home & Kitchen,297.9,213.52
PROD0098,Cookware Set Lite,Home & Kitchen,89.91,60.95
PROD0099,Air Fryer Max,Home & Kitchen,157.05,101.2
PROD0100,Air Fryer Pro,Home & Kitchen,125.05,64.89
PROD0101,Air Fryer Max,Home & Kitchen,164.37,93.62
PROD0102,Air Fryer Pro,Home & Kitchen,286.07,166.44
PROD0103,Blender Elite,Home & Kitchen,224.66,138.08
PROD0104,Vacuum Cleaner Plus,Home & Kitchen,258.03,180.34
PROD0105,Cookware Set Plus,Home & Kitchen,291.08,205.56
PROD0106,Vacuum Cleaner Basic,Home & Kitchen,110.4,63.03
PROD0107,Coffee Maker Max,Home & Kitchen,56.57,40.34
PROD0108,Blender Plus,Home & Kitchen,32.86,21.57
PROD0109,Blender Plus,Home & Kitchen,54.79,39.14
PROD0110,Air Fryer Lite,Home & Kitchen,20.19,14.93
PROD0111,Cookware Set Max,Home & Kitchen,267.0,153.65
PROD0112,Blender Max,Home & Kitchen,203.28,114.36
PROD0113,Cookware Set Elite,Home & Kitchen,34.5,22.65
PROD0114,Cookware Set Pro,Home & Kitchen,140.18,73.29
PROD0115,Blender Basic,Home & Kitchen,79.76,41.43
PROD0116,Cookware Set Pro,Home & Kitchen,165.44,101.13
PROD0117,Vacuum Cleaner Plus,Home & Kitchen,248.79,185.86
PROD0118,Cookware Set Pro,Home & Kitchen,153.76,85.68
PROD0119,Blender Max,Home & Kitchen,48.9,28.94
PROD0120,Cookware Set Lite,Home & Kitchen,127.16,89.44
PROD0121,Dumbbells Basic,Sports,31.08,19.92
PROD0122,Dumbbells Elite,Sports,118.42,80.6
PROD0123,Dumbbells Plus,Sports,231.18,151.2
PROD0124,Dumbbells Pro,Sports,35.37,18.57
PROD0125,Tennis Racket Plus,Sports,186.55,109.67
PROD0126,Cycling Helmet Elite,Sports,200.9,112.9
PROD0127,Yoga Mat Elite,Sports,73.32,47.68
PROD0128,Tennis Racket Pro,Sports,81.96,60.27
PROD0129,Cycling Helmet Lite,Sports,63.28,41.24
PROD0130,Running Shoes Lite,Sports,84.45,43.38
PROD0131,Running Shoes Elite,Sports,105.68,59.21
PROD0132,Tennis Racket Pro,Sports,31.69,22.89
PROD0133,Cycling Helmet Basic,Sports,234.47,124.97
PROD0134,Running Shoes Plus,Sports,100.87,67.66
PROD0135,Yoga Mat Max,Sports,18.92,9.78
PROD0136,Dumbbells Plus,Sports,24.36,12.55
PROD0137,Tennis Racket Plus,Sports,82.32,55.83
PROD0138,Running Shoes Basic,Sports,179.93,93.67
PROD0139,Tennis Racket Max,Sports,159.77,90.97
PROD0140,Yoga Mat Lite,Sports,135.16,74.45
PROD0141,Tennis Racket Elite,Sports,91.79,59.35
PROD0142,Yoga Mat Lite,Sports,87.89,53.56
PROD0143,Yoga Mat Pro,Sports,72.45,52.97
PROD0144,Running Shoes Elite,Sports,158.89,81.63
PROD0145,Dumbbells Elite,Sports,43.07,29.16
PROD0146,Yoga Mat Basic,Sports,53.5,39.5
PROD0147,Tennis Racket Lite,Sports,199.0,135.36
PROD0148,Cycling Helmet Max,Sports,44.83,31.17
PROD0149,Yoga Mat Plus,Sports,196.29,99.59
PROD0150,Cycling Helmet Basic,Sports,138.11,78.13
